cds	R_CP	R_DSC	S_CP	S_DSC
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10117_c1_g1_i1:510-5891(-)	3.49444944514177	3.42146352743145	2.94351900533305	5.38793029534814
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10118_c0_g1_i1:188-1126(+)	2.28156450181454	1.23469407840664	1.31448422651666	1.46989444449412
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10118_c0_g1_i3:188-838(+)	3.78574750673406	1.90039444468231	4.00510854797758	3.00697943419478
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10124_c1_g1_i1:535-1368(-)	20.0605503665368	16.1827433310464	14.0035031238026	16.70577344281
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101293_c0_g1_i3:438-1229(-)	4.29668310819676	3.05515346057942	2.58368420217781	4.17704056978274
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101293_c0_g1_i4:438-1421(-)	20.089584473473	13.7918503007443	20.1135908271054	10.4282059469883
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101338_c0_g4_i1:2-349(+)	14.3280744893458	24.2779168077391	0.0188106945515703	0.00895651454675187
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10133_c0_g1_i1:846-1760(-)	1.46215405425318	0.872188534113964	4.09372200721876	1.87305717460192
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10133_c0_g1_i2:377-1963(-)	2.648877207061	2.29612798913175	0.779713849675853	0.847736258268079
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10134_c1_g1_i1:639-2117(-)	48.5915487373273	48.7993579823987	34.0005743266741	43.9875648620692
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101357_c0_g1_i1:2-301(-)	43.622201453065	25.8511448635211	100.127498143274	56.096496843261
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10135_c0_g1_i1:324-1940(+)	111.420558977612	99.2069181392299	154.076660517535	127.111083512919
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10139_c0_g1_i1:926-5047(-)	3.49880560900049	5.50124223221443	1.98970415602937	3.63860561091865
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101433_c0_g1_i1:763-1680(-)	64.768607273471	60.531529484126	66.2844464774365	74.7546208523862
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101463_c1_g1_i1:2-1522(-)	15.8440359103005	15.0064305616958	14.2444985112596	15.3408409843775
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10146_c1_g1_i1:562-1569(-)	9.05563249438653	10.303423429044	7.76258520636052	6.02244748949253
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10146_c1_g1_i2:1664-1972(-)	1.00463369766165	1.8663650944886	1.05595451956411	1.32393687268601
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10146_c1_g1_i2:562-1740(-)	1.54606289601973	1.30304574260985	2.32335899888589	1.09733267971172
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10146_c1_g1_i3:562-1938(-)	5.70951763336226	9.0389013964909	4.81368894356111	3.49970677991855
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10147_c1_g2_i1:351-1592(-)	34.44690751053	20.4961898248831	46.7320081227865	143.229051850799
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10147_c1_g2_i2:330-1571(-)	48.7521008749018	28.716730764841	56.8378552175834	157.954080094231
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10150_c10_g1_i1:2-982(-)	1.05267496322663	0.95427641454991	0.261525693816015	0.901469390853684
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10150_c10_g2_i1:935-1720(-)	1.54699067142763	1.31137324895696	1.02981661909213	0.34971707326361
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10150_c7_g1_i1:55-1323(-)	1.96616358212649	1.84382238218189	3.31010205632618	2.34355669084311
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101530_c0_g1_i1:642-2114(-)	8.36251795206473	10.3344848248609	9.06951782889633	9.39450728084872
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10155_c0_g1_i1:473-2086(+)	91.1070348777785	104.250197779	114.453996525389	182.457911281779
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10158_c0_g1_i1:142-1332(+)	0.694524263501877	1.33836097598188	1.13922760399645	0.867407612504771
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101637_c0_g1_i1:285-1367(-)	88.8518733290124	85.4199907781234	113.779979372344	109.72490580604
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101640_c3_g1_i1:550-1350(+)	100.426145304436	76.2772925391475	91.1728213735118	101.75178758379
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101640_c3_g1_i1:959-1390(+)	60.2010987455777	33.3887515364473	52.1448234415935	45.8204623401295
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101645_c0_g1_i1:216-2966(+)	60.6826014935823	69.8408590019856	39.5670695430057	55.5306155711462
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101649_c0_g1_i1:765-2240(+)	16.2243113194178	16.5808738101146	14.8615135326578	16.3266255532472
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101651_c0_g1_i1:568-1236(-)	148.091755788654	97.313986753052	152.464162335777	178.759251713436
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR10165_c1_g1_i1:367-1446(+)	51.1580896926651	15.5530185953744	2.70482561616282	11.8767835487689
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101663_c0_g1_i1:314-1066(+)	50.6622489831379	22.8745156015305	48.0835051752654	35.1126559563577
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR101665_c0_g1_i1:583-2040(-)	142.166766767571	162.925880695125	138.479793359972	282.78871739163
