cds	R_T1	R_T2	R_T3	R_T4	S_T1	S_T2	S_T3	S_T4
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145427_c9_g1_i4:1-306(+)	1019.50502151973	978.246796472332	647.322464909018	931.721487252002	378.377649484725	285.567915220796	221.746873595298	237.454203067256
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145625_c0_g1_i1:882-1598(-)	291.03054231446	422.323063851088	91.1426564575312	103.194852915098	504.623410164676	246.415505838048	256.993203958843	303.1088450305
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145625_c0_g1_i1:260-835(-)	231.974948851476	313.921466665359	69.8334058053527	86.9065698855072	365.39215883927	196.376786981134	201.161521756514	234.898336805394
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR147377_c0_g1_i6:81-1463(+)	12.5512404376937	34.6610425068123	45.6798848890068	16.294656959075	99.7872326537752	115.453444672063	150.373669464486	106.588210255156
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148433_c0_g1_i1:1-369(+)	0	42.6584999947257	0	0	296.671226380328	381.944800711951	371.365309440492	296.97937942127
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148433_c0_g2_i1:1-519(+)	287.561436349586	605.946182755714	710.067884778446	593.438089159193	768.839369037553	1075.71958200889	1062.6149627091	845.110260438667
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148433_c0_g3_i1:1-369(+)	0	42.8449343337025	1.49422706399763	0	247.632860053376	335.178501378065	344.75904696517	263.392941781093
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148433_c0_g6_i1:1-771(+)	820.40908185163	1504.30372234532	1962.04313737021	1754.89347111846	688.051887877393	925.900543833649	869.881790775812	693.413092496591
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148505_c0_g1_i1:224-2116(-)	23803.3714059555	24669.7591685735	13430.1609643645	17280.1820577197	26576.2878985924	22924.0723441554	18838.0378934374	26574.0711577755
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR148950_c0_g1_i1:963-2156(-)	38.3062900594693	91.8714920596354	20.0638400319685	31.5658347273907	458.075411234175	366.981913745045	440.250475077674	350.572359454994
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR149017_c0_g2_i4:3-332(-)	128.300459889546	88.4545741470013	101.178548779829	109.65708986321	124.25146799731	117.266109918381	145.592640709053	115.884558066974
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR150642_c0_g1_i1:610-1329(+)	1149.68611688244	889.535815814565	872.382125055524	700.169721646437	1004.97291586494	784.117309550646	749.598803407539	847.727350788003
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR151105_c1_g1_i1:84-956(-)	2448.6828644324	658.130701360018	1219.7646804303	2623.00771030882	700.948055502393	567.72020006879	554.212541688663	1178.96375486184
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR151105_c1_g2_i1:84-956(-)	0.52615153531283	846.013108611511	0.905101792176834	0	525.864651948977	427.496662079158	415.153638988882	1016.29587081449
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR152552_c0_g1_i2:553-1842(-)	132.230773575568	77.7526633052263	63.5639164512874	105.710031068025	102.704990114663	83.7245953689019	104.868904565614	117.097303240781
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR152832_c0_g1_i1:577-1665(-)	263.787955788667	169.103567553364	92.7871679035206	192.925587354727	430.915889269497	422.10658646237	389.946260225629	469.650461403818
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR153483_c0_g3_i2:3-1085(+)	21.6174412986066	11.1863461978295	12.6964860128363	7.89532899224026	489.264061584114	298.423063725249	205.696991574138	263.255704556261
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR155120_c0_g1_i4:1-1068(-)	1757.93435362841	2463.37817081357	1851.92793661744	2595.07565305779	2637.81062472158	3526.4490504838	3467.88280837668	3375.20782806212
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR155961_c0_g1_i1:3-479(-)	175.841085837867	104.157264540635	126.764339534887	116.739017360214	372.210865370624	304.340360983088	354.586031824406	336.104909183624
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR156725_c0_g1_i1:479-1438(+)	17935.6190883876	11159.0562673237	6637.40852803414	8987.21973359987	17162.521284443	10769.2036263053	7282.01910260064	14426.0165124789
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR156731_c0_g1_i1:313-759(-)	302.728538987566	199.98607181298	159.611599846835	507.848766379087	335.264874495836	282.059725505052	263.161685082357	269.459952371383
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR156768_c1_g1_i2:256-1839(+)	4952.83638909283	3841.15959710461	1439.77731905925	835.709457241262	7207.70526760934	6712.77850485584	3599.9984217392	6900.55578469901
