R_T4_rep1	R_T4_rep2	R_T4_rep3	R_T1_rep1	R_T1_rep2	R_T1_rep3	R_T2_rep1	R_T2_rep2	R_T2_rep3	R_T3_rep1	R_T3_rep2	R_T3_rep3	S_T4_rep1	S_T4_rep2	S_T4_rep3	S_T1_rep1	S_T1_rep2	S_T1_rep3	S_T2_rep1	S_T2_rep2	S_T2_rep3	S_T3_rep1	S_T3_rep2	S_T3_rep3
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR126243_c0_g1_i1:2-310(+)	46.7299246429564	37.9559667687423	48.66598043676	158.153789746574	114.017301403889	171.239412057436	64.4114720094069	649.907872584039	100.461824564345	85.1002377678649	68.301035627206	76.0088568872769	265.601177371516	460.088398015876	223.186938152688	987.826605585759	777.569778043174	680.736180145738	415.838838443699	362.717183005614	611.983642501945	574.169888820702	416.574237118369	354.192125811696
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR132530_c0_g1_i1:210-1289(-)	674.132939128539	756.273086914914	794.219647533314	141.679989757766	156.931879307296	253.462682200393	867.986355610689	90.8587867609409	820.185138745042	810.88257269544	930.990586359753	767.873959274652	230.858984811352	190.217402148921	255.29659053773	185.791754478438	207.020988857081	190.314030724523	402.942108225379	481.192476551061	211.914671131932	410.585617969831	508.757188784906	504.366986159408
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR133872_c0_g1_i1:593-916(+)	278.999267669286	188.879612846738	238.805547173361	438.780876007314	371.1426400709	455.721608582882	248.152604413702	547.52584481035	190.78648746417	277.768489188099	259.109395013079	240.03261061878	317.672453676413	314.910467044964	284.743764549665	474.520309404586	387.242505640648	594.612782662414	323.268685090137	526.397918507114	399.387488949231	534.826525706978	415.863241953224	477.0166640441
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR136793_c0_g1_i1:2-964(+)	1342.26228667566	2019.19329899643	1277.64432469436	224.000534093644	253.791062034481	246.992157777893	1218.7678964451	131.716752537236	1255.7375175881	1222.72275201134	1678.60685607808	1163.14518820592	564.966722202639	731.28009454686	584.127762780793	330.895966443212	241.882144100159	295.806613323796	966.493700592681	920.904507561206	531.4723401969	813.116228134232	1059.12718721427	799.140623499488
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR137062_c1_g1_i1:124-1611(+)	1536.03418521895	1045.93865457453	1537.32583953278	9755.85047481957	8503.94688376982	10303.1325705728	3907.58990022796	11244.4244712494	4910.66184029215	5377.29735855682	3728.18280900452	3295.29462640131	370.653499748108	567.787549370546	587.687333491401	5456.23488672984	5848.64753126138	5762.97603329773	1658.11465354416	1019.81341261729	2647.57363474861	1411.66306463	1512.96595523878	1185.80230298793
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR140069_c0_g1_i1:1975-3513(-)	409.045745303188	313.376676495255	317.10494230285	404.624487667593	435.332024174119	333.607225175938	335.609069737636	489.459655542772	313.912835184212	356.714675612412	275.481400370815	280.000199372127	430.399187060612	449.960351382678	415.835421637809	546.600195493794	457.30882417311	352.167178164616	407.741276661333	440.527606600931	485.633357077425	422.165841264942	416.504957058677	452.232198886863
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141854_c1_g1_i1:2-364(+)	1769.57885689314	1509.65673435161	1914.4858911922	2153.80222984318	2183.81396506212	2683.42917322658	993.98246150153	1404.61349748833	944.960340947006	980.192812575961	956.632605352814	1272.32076059987	1203.77354989652	1390.65051569735	1273.95789302337	1195.31087049368	1123.42099507658	1270.68570780732	1053.19179321271	873.15776775264	941.565708623083	969.383011901442	881.318937183922	1031.62644373033
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR141978_c0_g1_i1:481-1182(-)	51.5861104065167	71.1415203043496	63.0079426774146	23.8935518684252	30.8380799878156	38.0753663206184	96.6883360171682	13.7710014165425	96.0113566867899	96.9228803030721	91.6075765980923	77.3815345887012	19.7229675715386	17.0812565416565	22.1917101732686	25.7229492876073	32.54639931385	20.1202180512206	67.569772178401	53.7895914376793	49.5046956278086	47.0204197462678	50.2596242370514	70.8989699224202
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR144910_c0_g1_i1:220-1251(-)	43.8490481609644	16.5269469715446	16.1903259986401	6.67084387007192	7.0415952666283	10.5170764569313	13.3831055375305	10.4638302341634	3.61185309568969	8.2612689210735	7.59091387996906	4.97212407039355	37.1229980451839	30.4034086936521	74.9113643304214	79.6804272014296	54.1316442138492	71.3334330588696	100.535477863337	43.8003903359117	68.1349345498306	43.582285938611	52.2223724667844	67.8465885023723
StoneCellBiosyn_Pooled_BBMerged_Trinity_3July2015_TR145427_c9_g1_i4:1-306(+)	1080.04566216979	847.040244628024	868.078554958192	984.925771162021	967.6607607162	1105.92853268098	642.605067872698	1582.26159067044	709.873730873858	706.858198460058	624.791871928743	610.317324338252	223.360726467734	229.747458918427	259.254423815607	313.138244126018	384.486303628223	437.508400699934	305.373348463265	193.65467432395	357.675722875173	207.813277230469	229.842156962001	227.585186593425
